## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/Users/xiongx11/Desktop/code/WGS-Variant-Calling/aligned_reads/insert_size_histogram.pdf INPUT=/Users/xiongx11/Desktop/code/WGS-Variant-Calling/aligned_reads/SRR062634_sorted_dedup_bqsr_reads.bam OUTPUT=/Users/xiongx11/Desktop/code/WGS-Variant-Calling/aligned_reads/insert_size_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=2 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Mar 14 13:10:18 EDT 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
183	184	13	2	232095991	179.373841	24.94239	23609650	FR	5	11	15	21	27	33	41	51	71	105	199			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	10
3	14
4	6
5	6
6	8
7	10
8	9
9	9
10	7
11	6
12	14
13	11
14	14
15	9
16	12
17	5
18	11
19	10
20	5
21	11
22	2
23	28
24	13
25	11
26	18
27	21
28	25
29	93
30	706
31	859
32	965
33	1181
34	1219
35	1334
36	1479
37	1503
38	1666
39	1789
40	1802
41	1866
42	2013
43	2048
44	2116
45	2166
46	2269
47	2145
48	2442
49	2485
50	2598
51	2719
52	2812
53	2823
54	2930
55	2967
56	3189
57	3311
58	3415
59	3455
60	3651
61	3787
62	4061
63	4059
64	4382
65	4491
66	4645
67	4720
68	4970
69	5103
70	5358
71	5450
72	5692
73	5897
74	6201
75	6324
76	6499
77	6701
78	6942
79	7147
80	7419
81	7598
82	7917
83	8082
84	8438
85	8594
86	8955
87	9054
88	9224
89	9424
90	9229
91	11520
92	11878
93	12067
94	12595
95	12800
96	13336
97	13588
98	14067
99	14563
100	14808
101	15566
102	15556
103	16046
104	16682
105	17180
106	17899
107	18015
108	18344
109	18918
110	19552
111	20206
112	20517
113	21352
114	22093
115	22496
116	23101
117	23830
118	24815
119	25573
120	26296
121	26901
122	27549
123	28159
124	29293
125	30047
126	30952
127	31740
128	32245
129	33917
130	34818
131	36145
132	36640
133	38471
134	39992
135	42047
136	43318
137	45080
138	47238
139	48722
140	50562
141	52852
142	55748
143	58626
144	62036
145	65670
146	69271
147	72941
148	77906
149	82047
150	87418
151	93125
152	99237
153	107401
154	114819
155	124028
156	133238
157	143326
158	155165
159	166956
160	180717
161	194379
162	209981
163	225634
164	243243
165	261135
166	280083
167	300144
168	320210
169	341893
170	361689
171	379039
172	398633
173	415875
174	432957
175	446504
176	458979
177	470820
178	478335
179	487519
180	492081
181	497596
182	499186
183	500630
184	500718
185	497681
186	493012
187	487825
188	481397
189	473855
190	465823
191	459148
192	450368
193	440621
194	430244
195	418566
196	406420
197	392096
198	378943
199	364685
200	349282
201	333713
202	319357
203	304377
204	287808
205	268402
206	251737
207	232751
208	214763
209	196610
210	179900
211	163330
212	148245
213	133056
214	118675
215	103995
216	92678
217	80674
218	68969
219	59416
220	50807
221	42669
222	36029
223	29941
224	25056
225	20444
226	16737
227	13569
228	10959
229	8446
230	6849
231	5244
232	4229
233	3519
234	2905
235	2252
236	1834
237	1527
238	1278
239	1003
240	959
241	752
242	754
243	630
244	617
245	549
246	491
247	435
248	501
249	398
250	418
251	397
252	361
253	367
254	325
255	289
256	309
257	287
258	302
259	339
260	298
261	234
262	266
263	219
264	233
265	219
266	219
267	209
268	219
269	275
270	219
271	276
272	306
273	124
274	84
275	87
276	59
277	77
278	75
279	86
280	82
281	76
282	73
283	63
284	78
285	70
286	84
287	77
288	68
289	72
290	78
291	71
292	68
293	62
294	63
295	50
296	67
297	65
298	63
299	63
300	78
301	71
302	53
303	65
304	63
305	64
306	60
307	59
308	81
309	63
310	62
311	56
312	71
313	68

